GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
appengine-datastore-geo,com.example.appengine,GeoServlet,35,315,2,4,6,60,2,7,0,6
appengine-datastore-geo,com.example.appengine,StartupServlet,0,104,0,2,0,27,0,3,0,2
